react_name,canonical_smiles,raw_energy,relative_energy,normalize_energy
C34120,C[C@H]1C[C@@H]2CC[C@H](C)[CH+][C@H]12,-390.8157996763466,-10.763957881419788,0.4346848025679174
C20225,C=C1C[C+](C)C[C@@H](C)[C@H]1C,-390.81579917888575,-10.763645720004222,0.4346888753958229
C33894,C[C+]1C[C@H](C)[C@H]2CC[C@H]2C1,-390.8157964869637,-10.761956513327489,0.4347109147887395
C36274,C[C+]1C[C@@H](C)[C@@H]2CC[C@@H]2C1,-390.8157953605802,-10.761249696983784,0.4347201367527143
C93174,C[CH+]/C=C\C1(C)CCCC1,-390.815791221104,-10.75865213635884,0.4347540276081238
C109768,[CH+]1CC[C@H]2CCC[C@@H]2CC1,-390.8157836795402,-10.753919733409347,0.4348157721474276
C86948,C=C1C[C+](C)C(C)(C)[C@H]1C,-390.81577738135366,-10.749967561535357,0.4348673368671298
C33418,C[C+](C)[C@@]1(C)C=C[C@H](C)C1,-390.8157730689746,-10.747261502697532,0.4349026433188529
C38818,C[C+](C)[C@]1(C)C=C[C@@H](C)C1,-390.81577265229737,-10.74700003378978,0.4349060547522037
C109750,C1CC[C+](C2CCC2)CC1,-390.8157683466033,-10.74429816986139,0.4349413064721651
C42161,C/C=C/[C@@H]1CC[C+](C)[C@H]1C,-390.8157654421549,-10.742475600884193,0.4349650858677591
C24206,C/C=C/[C@H]1CC[C+](C)[C@@H]1C,-390.8157643643223,-10.741799250710535,0.4349739103339608
C56860,C/C=C\[C@@H]1CC[C@@H](C)[C+]1C,-390.8157595565833,-10.73878234881241,0.4350132724127635
C19764,C=C1C[C@@H](C)[C@H](C)[CH+][C@@H]1C,-390.8157577069495,-10.737621686028666,0.4350284157954455
C19377,C[C+]1CC=CC(C)(C)[C@@H]1C,-390.8157522622738,-10.734205100297714,0.4350729926233701
C22760,C=C1C[C@H](C)[C@@H](C)[CH+][C@H]1C,-390.81575219047386,-10.734160045149784,0.4350735804662444
C104675,C[C@H]1CCC[C+]1C1CCC1,-390.815748151186,-10.73162535366295,0.4351066510563446
